0, 1, 0.4
0, 3, 0.5
0, 5, 0.3
0, 7, 0.9
0, 9, 0.2
0, 11, 0.6
1, 2, 0.8
1, 4, 0.1
1, 6, 0.7
1, 8, 0.3
1, 10, 0.4
2, 0, 0.6
2, 3, 0.9
2, 5, 0.4
2, 7, 0.2
2, 9, 0.5
3, 1, 0.7
3, 4, 0.3
3, 6, 0.5
3, 8, 0.8
3, 10, 0.1
4, 2, 0.6
4, 5, 0.4
4, 7, 0.7
4, 9, 0.9
4, 11, 0.3
5, 0, 0.4
5, 3, 0.6
5, 6, 0.1
5, 8, 0.8
5, 10, 0.2
6, 2, 0.9
6, 4, 0.3
6, 7, 0.2
6, 9, 0.6
7, 1, 0.4
7, 3, 0.7
7, 5, 0.8
7, 8, 0.1
8, 0, 0.2
8, 2, 0.9
8, 4, 0.5
8, 6, 0.3
9, 1, 0.5
9, 3, 0.8
9, 5, 0.6
9, 7, 0.4
10, 0, 0.9
10, 2, 0.6
10, 4, 0.1
10, 6, 0.8
11, 1, 0.3
11, 3, 0.5
11, 5, 0.7
11, 7, 0.9
12, 13, 0.4
12, 15, 0.7
12, 17, 0.3
12, 19, 0.8
13, 14, 0.6
13, 16, 0.5
13, 18, 0.9
14, 15, 0.2
14, 17, 0.8
14, 19, 0.4
15, 16, 0.7
15, 18, 0.3
16, 17, 0.9
17, 18, 0.6
17, 19, 0.5
18, 19, 0.8
